id,text,subject,length,complexity,demand,price,keywords
580,organic reaction mechanism detailed explanation solve step by step,chemistry,9,2.91,1.39,202.18,"organic,reaction,mechanism,detailed,explanation,solve,step"
581,thermodynamics law application explain explain,physics,5,3.41,2.05,242.16,"thermodynamics,law,application,explain"
582,algebra equation solving show steps solve step by step,math,9,2.56,2.17,203.51,"algebra,equation,solving,show,steps,solve,step"
583,graph theory shortest path show steps explain,cs,7,2.65,0.58,169.56,"graph,theory,shortest,path,show,steps,explain"
584,thermodynamics law application explain detailed explanation,physics,6,3.23,1.32,218.92,"thermodynamics,law,application,explain,detailed,explanation"
585,recursion tree problem explain,cs,4,2.52,1.57,188.23,"recursion,tree,problem,explain"
586,linear algebra matrix,math,3,2.6,0.65,177.56,"linear,algebra,matrix"
587,geometry theorems proof solve step by step explain,math,8,2.8,1.38,201.5,"geometry,theorems,proof,solve,step,explain"
588,differential equations solve,math,3,2.1,0.77,144.22,"differential,equations,solve"
589,stoichiometry titration problem show steps,chemistry,5,3.24,2.09,238.39,"stoichiometry,titration,problem,show,steps"
590,organic reaction mechanism detailed explanation explain,chemistry,6,0.63,1.65,94.38,"organic,reaction,mechanism,detailed,explanation,explain"
591,geometry theorems proof,math,3,2.74,2.31,206.08,"geometry,theorems,proof"
592,data structures stack queue,cs,4,0.98,0.94,102.49,"data,structures,stack,queue"
593,mechanics motion problem,physics,3,2.51,1.63,175.19,"mechanics,motion,problem"
594,data structures stack queue,cs,4,1.37,0.63,101.06,"data,structures,stack,queue"
595,sorting algorithm explanation explain,cs,4,2.47,0.7,167.89,"sorting,algorithm,explanation,explain"
596,thermodynamics law application with example,physics,5,2.35,1.11,171.38,"thermodynamics,law,application,with,example"
597,chemical bonding explanation explain,chemistry,4,1.44,2.07,145.64,"chemical,bonding,explanation,explain"
598,sorting algorithm explanation explain,cs,4,2.7,2.26,207.46,"sorting,algorithm,explanation,explain"
599,chemical bonding explanation with example,chemistry,5,1.03,1.71,122.54,"chemical,bonding,explanation,with,example"
600,quantum basics question,physics,3,1.29,2.27,127.43,"quantum,basics,question"
601,calculus integral problem show steps detailed explanation,math,7,2.24,2.04,181.06,"calculus,integral,problem,show,steps,detailed,explanation"
602,linear algebra matrix with example,math,5,3.5,1.44,239.3,"linear,algebra,matrix,with,example"
603,periodic trends question,chemistry,3,3.17,1.68,225.24,"periodic,trends,question"
604,electric circuits problem with example solve step by step,physics,9,2.01,1.83,182.06,"electric,circuits,problem,with,example,solve,step"
605,quantum basics question,physics,3,1.84,0.86,144.17,"quantum,basics,question"
606,electric circuits problem explain,physics,4,2.78,0.96,181.49,"electric,circuits,problem,explain"
607,mechanics motion problem solve step by step detailed explanation,physics,9,1.58,1.44,144.89,"mechanics,motion,problem,solve,step,detailed,explanation"
608,calculus integral problem solve step by step show steps,math,9,2.06,2.16,190.9,"calculus,integral,problem,solve,step,show,steps"
609,acid base titration with example solve step by step,chemistry,9,1.64,1.68,161.56,"acid,base,titration,with,example,solve,step"
610,linear algebra matrix solve step by step,math,7,3.22,1.53,222.66,"linear,algebra,matrix,solve,step"
611,periodic trends question detailed explanation,chemistry,5,0.52,2.26,100.0,"periodic,trends,question,detailed,explanation"
612,mechanics motion problem show steps solve step by step,physics,9,1.06,1.22,119.75,"mechanics,motion,problem,show,steps,solve,step"
613,algebra equation solving detailed explanation,math,5,2.66,1.46,191.78,"algebra,equation,solving,detailed,explanation"
614,quantum basics question,physics,3,2.44,1.32,169.27,"quantum,basics,question"
615,quantum basics question explain show steps,physics,6,0.62,1.64,86.92,"quantum,basics,question,explain,show,steps"
616,stoichiometry titration problem detailed explanation with example,chemistry,7,2.19,0.54,158.69,"stoichiometry,titration,problem,detailed,explanation,with,example"
617,organic reaction mechanism,chemistry,3,1.85,2.49,175.65,"organic,reaction,mechanism"
618,optics refraction question show steps,physics,5,2.88,2.14,210.44,"optics,refraction,question,show,steps"
619,stoichiometry titration problem show steps detailed explanation,chemistry,7,2.29,0.64,158.86,"stoichiometry,titration,problem,show,steps,detailed,explanation"
620,mechanics motion problem,physics,3,1.11,2.22,125.99,"mechanics,motion,problem"
621,dynamic programming example explain with example,cs,6,2.34,0.58,166.28,"dynamic,programming,example,explain,with"
622,calculus integral problem show steps,math,5,3.21,1.58,212.12,"calculus,integral,problem,show,steps"
623,data structures stack queue solve step by step,cs,8,0.63,1.56,93.29,"data,structures,stack,queue,solve,step"
624,recursion tree problem with example,cs,5,2.72,2.02,210.33,"recursion,tree,problem,with,example"
625,differential equations solve,math,3,1.26,2.03,137.8,"differential,equations,solve"
626,geometry theorems proof detailed explanation with example,math,7,1.07,1.92,131.69,"geometry,theorems,proof,detailed,explanation,with,example"
627,linear algebra matrix,math,3,1.63,0.91,131.79,"linear,algebra,matrix"
628,sorting algorithm explanation,cs,3,0.96,1.8,105.07,"sorting,algorithm,explanation"
629,data structures stack queue show steps,cs,6,3.48,1.29,225.87,"data,structures,stack,queue,show,steps"
630,dynamic programming example with example,cs,5,1.95,2.48,178.65,"dynamic,programming,example,with"
631,dynamic programming example explain solve step by step,cs,8,2.85,2.4,218.51,"dynamic,programming,example,explain,solve,step"
632,sorting algorithm explanation show steps show steps,cs,7,0.66,1.28,95.32,"sorting,algorithm,explanation,show,steps"
633,algebra equation solving detailed explanation,math,5,1.81,0.63,127.54,"algebra,equation,solving,detailed,explanation"
634,linear algebra matrix,math,3,2.67,2.36,204.71,"linear,algebra,matrix"
635,acid base titration,chemistry,3,3.34,2.14,238.61,"acid,base,titration"
636,graph theory shortest path,cs,4,3.05,2.36,228.06,"graph,theory,shortest,path"
637,mechanics motion problem with example show steps,physics,7,2.35,1.85,185.69,"mechanics,motion,problem,with,example,show,steps"
638,algebra equation solving,math,3,3.49,2.06,238.76,"algebra,equation,solving"
639,recursion tree problem solve step by step explain,cs,8,2.61,2.34,214.29,"recursion,tree,problem,solve,step,explain"
640,chemical bonding explanation solve step by step,chemistry,7,3.39,1.41,229.78,"chemical,bonding,explanation,solve,step"
641,geometry theorems proof,math,3,1.72,0.71,117.65,"geometry,theorems,proof"
642,chemical bonding explanation,chemistry,3,2.91,2.41,227.22,"chemical,bonding,explanation"
643,periodic trends question with example,chemistry,5,2.81,2.01,219.92,"periodic,trends,question,with,example"
644,recursion tree problem detailed explanation with example,cs,7,1.27,1.27,128.67,"recursion,tree,problem,detailed,explanation,with,example"
645,optics refraction question with example,physics,5,1.56,1.57,143.42,"optics,refraction,question,with,example"
646,stoichiometry titration problem explain,chemistry,4,2.52,2.14,188.32,"stoichiometry,titration,problem,explain"
647,electric circuits problem solve step by step,physics,7,3.18,1.04,222.74,"electric,circuits,problem,solve,step"
648,electric circuits problem explain show steps,physics,6,3.12,0.91,200.26,"electric,circuits,problem,explain,show,steps"
649,quantum basics question explain,physics,4,0.82,2.34,119.32,"quantum,basics,question,explain"
650,data structures stack queue,cs,4,2.79,1.58,189.95,"data,structures,stack,queue"
651,sorting algorithm explanation solve step by step detailed explanation,cs,9,3.14,1.65,223.49,"sorting,algorithm,explanation,solve,step,detailed"
652,quantum basics question solve step by step,physics,7,2.75,0.76,187.21,"quantum,basics,question,solve,step"
653,recursion tree problem explain solve step by step,cs,8,3.08,2.05,230.14,"recursion,tree,problem,explain,solve,step"
654,linear algebra matrix solve step by step,math,7,0.53,1.85,95.09,"linear,algebra,matrix,solve,step"
655,geometry theorems proof show steps,math,5,1.28,1.6,120.74,"geometry,theorems,proof,show,steps"
656,data structures stack queue solve step by step,cs,8,2.0,0.92,158.41,"data,structures,stack,queue,solve,step"
657,chemical bonding explanation solve step by step,chemistry,7,1.04,0.76,102.72,"chemical,bonding,explanation,solve,step"
658,mechanics motion problem solve step by step solve step by step,physics,11,1.8,1.26,150.12,"mechanics,motion,problem,solve,step"
659,electric circuits problem,physics,3,1.03,1.5,117.41,"electric,circuits,problem"
660,periodic trends question solve step by step,chemistry,7,3.08,0.6,191.98,"periodic,trends,question,solve,step"
661,mechanics motion problem,physics,3,2.94,1.45,204.6,"mechanics,motion,problem"
662,sorting algorithm explanation solve step by step,cs,7,2.18,2.36,185.35,"sorting,algorithm,explanation,solve,step"
663,differential equations solve,math,3,1.55,1.86,142.81,"differential,equations,solve"
664,thermodynamics law application solve step by step,physics,7,2.03,2.05,175.44,"thermodynamics,law,application,solve,step"
665,differential equations solve solve step by step show steps,math,9,0.93,0.84,107.45,"differential,equations,solve,step,show,steps"
666,periodic trends question show steps with example,chemistry,7,3.22,0.66,205.07,"periodic,trends,question,show,steps,with,example"
667,chemical bonding explanation solve step by step solve step by step,chemistry,11,2.43,1.04,183.2,"chemical,bonding,explanation,solve,step"
668,acid base titration detailed explanation with example,chemistry,7,1.05,0.55,102.06,"acid,base,titration,detailed,explanation,with,example"
669,organic reaction mechanism,chemistry,3,1.0,0.71,81.48,"organic,reaction,mechanism"
670,data structures stack queue,cs,4,0.58,1.29,88.1,"data,structures,stack,queue"
671,calculus integral problem show steps,math,5,0.75,2.36,112.5,"calculus,integral,problem,show,steps"
672,optics refraction question solve step by step show steps,physics,9,0.89,2.18,116.67,"optics,refraction,question,solve,step,show,steps"
673,chemical bonding explanation with example,chemistry,5,3.11,2.37,233.87,"chemical,bonding,explanation,with,example"
674,quantum basics question,physics,3,2.27,1.41,172.68,"quantum,basics,question"
675,data structures stack queue show steps solve step by step,cs,10,1.54,1.58,154.69,"data,structures,stack,queue,show,steps,solve,step"
676,sorting algorithm explanation with example,cs,5,0.97,0.52,89.37,"sorting,algorithm,explanation,with,example"
677,thermodynamics law application with example,physics,5,0.52,2.34,111.74,"thermodynamics,law,application,with,example"
678,sorting algorithm explanation,cs,3,2.8,2.1,209.94,"sorting,algorithm,explanation"
679,linear algebra matrix explain,math,4,3.15,1.37,207.9,"linear,algebra,matrix,explain"
680,recursion tree problem,cs,3,1.29,1.34,112.09,"recursion,tree,problem"
681,chemical bonding explanation show steps detailed explanation,chemistry,7,1.74,2.21,158.85,"chemical,bonding,explanation,show,steps,detailed"
682,organic reaction mechanism with example with example,chemistry,7,2.6,1.48,190.01,"organic,reaction,mechanism,with,example"
683,mechanics motion problem explain detailed explanation,physics,6,1.35,0.75,113.27,"mechanics,motion,problem,explain,detailed,explanation"
684,algebra equation solving,math,3,0.95,1.49,100.14,"algebra,equation,solving"
685,periodic trends question with example,chemistry,5,2.87,1.16,203.57,"periodic,trends,question,with,example"
686,mechanics motion problem show steps,physics,5,0.71,1.44,88.14,"mechanics,motion,problem,show,steps"
687,periodic trends question,chemistry,3,0.87,2.04,105.28,"periodic,trends,question"
688,dynamic programming example detailed explanation explain,cs,6,2.71,0.69,184.62,"dynamic,programming,example,detailed,explanation,explain"
689,electric circuits problem show steps,physics,5,1.44,1.15,127.58,"electric,circuits,problem,show,steps"
690,linear algebra matrix explain with example,math,6,1.4,1.22,117.44,"linear,algebra,matrix,explain,with,example"
691,mechanics motion problem,physics,3,2.4,1.15,162.35,"mechanics,motion,problem"
692,acid base titration,chemistry,3,1.69,0.99,139.68,"acid,base,titration"
693,data structures stack queue,cs,4,1.61,0.68,115.25,"data,structures,stack,queue"
694,linear algebra matrix detailed explanation,math,5,3.49,1.75,230.7,"linear,algebra,matrix,detailed,explanation"
695,quantum basics question,physics,3,0.88,0.97,99.03,"quantum,basics,question"
696,periodic trends question explain show steps,chemistry,6,1.57,0.77,133.87,"periodic,trends,question,explain,show,steps"
697,recursion tree problem solve step by step show steps,cs,9,1.07,0.87,105.85,"recursion,tree,problem,solve,step,show,steps"
698,sorting algorithm explanation detailed explanation with example,cs,7,0.71,0.81,81.61,"sorting,algorithm,explanation,detailed,with,example"
699,acid base titration with example,chemistry,5,2.83,1.51,206.37,"acid,base,titration,with,example"
700,linear algebra matrix show steps,math,5,1.22,1.94,132.97,"linear,algebra,matrix,show,steps"
701,dynamic programming example show steps show steps,cs,7,0.96,1.07,101.6,"dynamic,programming,example,show,steps"
702,organic reaction mechanism,chemistry,3,2.07,0.63,148.8,"organic,reaction,mechanism"
703,optics refraction question,physics,3,1.11,1.47,102.88,"optics,refraction,question"
704,recursion tree problem show steps with example,cs,7,0.65,0.94,89.66,"recursion,tree,problem,show,steps,with,example"
705,algebra equation solving with example detailed explanation,math,7,0.74,2.1,104.21,"algebra,equation,solving,with,example,detailed,explanation"
706,sorting algorithm explanation explain show steps,cs,6,2.09,1.97,182.59,"sorting,algorithm,explanation,explain,show,steps"
707,algebra equation solving explain show steps,math,6,2.09,0.88,154.62,"algebra,equation,solving,explain,show,steps"
708,quantum basics question detailed explanation with example,physics,7,2.17,1.99,187.63,"quantum,basics,question,detailed,explanation,with,example"
709,periodic trends question show steps detailed explanation,chemistry,7,1.0,0.86,99.23,"periodic,trends,question,show,steps,detailed,explanation"
710,stoichiometry titration problem detailed explanation with example,chemistry,7,1.56,1.13,144.43,"stoichiometry,titration,problem,detailed,explanation,with,example"
711,chemical bonding explanation show steps,chemistry,5,1.79,1.95,160.67,"chemical,bonding,explanation,show,steps"
712,electric circuits problem detailed explanation solve step by step,physics,9,3.38,1.39,232.74,"electric,circuits,problem,detailed,explanation,solve,step"
713,geometry theorems proof explain explain,math,5,3.17,0.51,208.39,"geometry,theorems,proof,explain"
714,thermodynamics law application,physics,3,2.81,2.39,220.75,"thermodynamics,law,application"
715,mechanics motion problem,physics,3,1.88,0.81,131.5,"mechanics,motion,problem"
716,optics refraction question detailed explanation,physics,5,0.78,1.3,103.36,"optics,refraction,question,detailed,explanation"
717,geometry theorems proof explain,math,4,2.98,1.88,216.12,"geometry,theorems,proof,explain"
718,linear algebra matrix solve step by step show steps,math,9,2.23,0.66,153.82,"linear,algebra,matrix,solve,step,show,steps"
719,chemical bonding explanation with example,chemistry,5,3.1,2.24,224.33,"chemical,bonding,explanation,with,example"
720,differential equations solve,math,3,1.41,0.58,108.9,"differential,equations,solve"
721,thermodynamics law application show steps explain,physics,6,2.52,2.49,217.22,"thermodynamics,law,application,show,steps,explain"
722,algebra equation solving solve step by step,math,7,1.68,0.76,124.85,"algebra,equation,solving,solve,step"
723,linear algebra matrix solve step by step,math,7,1.7,1.37,150.36,"linear,algebra,matrix,solve,step"
724,electric circuits problem explain solve step by step,physics,8,2.21,1.62,188.84,"electric,circuits,problem,explain,solve,step"
725,optics refraction question,physics,3,1.3,1.36,121.89,"optics,refraction,question"
726,calculus integral problem with example solve step by step,math,9,1.07,1.19,118.41,"calculus,integral,problem,with,example,solve,step"
727,stoichiometry titration problem show steps,chemistry,5,3.47,1.38,224.02,"stoichiometry,titration,problem,show,steps"
728,algebra equation solving,math,3,2.56,0.81,174.77,"algebra,equation,solving"
729,calculus integral problem explain detailed explanation,math,6,3.28,2.24,247.2,"calculus,integral,problem,explain,detailed,explanation"
730,geometry theorems proof detailed explanation solve step by step,math,9,1.91,1.16,161.5,"geometry,theorems,proof,detailed,explanation,solve,step"
731,optics refraction question with example solve step by step,physics,9,1.95,1.96,167.53,"optics,refraction,question,with,example,solve,step"
732,differential equations solve detailed explanation with example,math,7,1.27,0.62,103.91,"differential,equations,solve,detailed,explanation,with,example"
733,organic reaction mechanism show steps,chemistry,5,0.53,1.28,77.53,"organic,reaction,mechanism,show,steps"
734,organic reaction mechanism,chemistry,3,1.38,2.27,138.13,"organic,reaction,mechanism"
735,data structures stack queue explain solve step by step,cs,9,3.1,1.56,217.93,"data,structures,stack,queue,explain,solve,step"
736,data structures stack queue explain solve step by step,cs,9,2.09,1.17,163.77,"data,structures,stack,queue,explain,solve,step"
737,mechanics motion problem show steps,physics,5,1.57,1.1,140.42,"mechanics,motion,problem,show,steps"
738,organic reaction mechanism solve step by step solve step by step,chemistry,11,3.5,2.48,275.48,"organic,reaction,mechanism,solve,step"
739,stoichiometry titration problem,chemistry,3,1.53,1.29,121.05,"stoichiometry,titration,problem"
740,data structures stack queue show steps show steps,cs,8,1.18,0.98,107.65,"data,structures,stack,queue,show,steps"
741,acid base titration with example,chemistry,5,0.9,1.8,112.62,"acid,base,titration,with,example"
742,optics refraction question show steps,physics,5,3.2,2.32,235.0,"optics,refraction,question,show,steps"
743,quantum basics question,physics,3,1.45,1.61,139.67,"quantum,basics,question"
744,algebra equation solving detailed explanation,math,5,0.94,0.56,84.57,"algebra,equation,solving,detailed,explanation"
745,recursion tree problem with example,cs,5,3.3,2.29,249.47,"recursion,tree,problem,with,example"
746,stoichiometry titration problem,chemistry,3,0.82,0.87,89.65,"stoichiometry,titration,problem"
747,acid base titration show steps with example,chemistry,7,1.19,0.55,96.09,"acid,base,titration,show,steps,with,example"
748,dynamic programming example detailed explanation with example,cs,7,2.45,0.87,171.65,"dynamic,programming,example,detailed,explanation,with"
749,dynamic programming example,cs,3,1.08,0.56,96.49,"dynamic,programming,example"
750,geometry theorems proof solve step by step,math,7,2.51,0.91,171.79,"geometry,theorems,proof,solve,step"
751,electric circuits problem with example solve step by step,physics,9,1.87,0.99,149.4,"electric,circuits,problem,with,example,solve,step"
752,linear algebra matrix detailed explanation show steps,math,7,1.68,2.38,167.04,"linear,algebra,matrix,detailed,explanation,show,steps"
753,linear algebra matrix,math,3,1.85,2.15,152.35,"linear,algebra,matrix"
754,quantum basics question solve step by step show steps,physics,9,2.17,1.53,179.71,"quantum,basics,question,solve,step,show,steps"
755,algebra equation solving with example,math,5,3.15,2.05,224.22,"algebra,equation,solving,with,example"
756,electric circuits problem show steps,physics,5,0.66,1.53,86.44,"electric,circuits,problem,show,steps"
757,graph theory shortest path with example explain,cs,7,2.26,2.29,193.73,"graph,theory,shortest,path,with,example,explain"
758,recursion tree problem with example,cs,5,1.04,1.68,119.85,"recursion,tree,problem,with,example"
759,electric circuits problem,physics,3,1.25,1.88,134.24,"electric,circuits,problem"
760,mechanics motion problem,physics,3,0.84,1.4,93.26,"mechanics,motion,problem"
761,data structures stack queue detailed explanation solve step by step,cs,10,1.64,2.04,171.05,"data,structures,stack,queue,detailed,explanation,solve,step"
762,optics refraction question,physics,3,1.04,1.92,114.79,"optics,refraction,question"
763,periodic trends question show steps,chemistry,5,0.85,0.76,81.76,"periodic,trends,question,show,steps"
764,organic reaction mechanism with example,chemistry,5,2.0,2.11,174.36,"organic,reaction,mechanism,with,example"
765,dynamic programming example,cs,3,2.27,1.45,166.7,"dynamic,programming,example"
766,linear algebra matrix explain detailed explanation,math,6,1.33,1.76,140.1,"linear,algebra,matrix,explain,detailed,explanation"
767,mechanics motion problem,physics,3,0.94,1.81,99.93,"mechanics,motion,problem"
768,linear algebra matrix solve step by step detailed explanation,math,9,0.65,1.33,90.66,"linear,algebra,matrix,solve,step,detailed,explanation"
769,acid base titration show steps with example,chemistry,7,2.86,0.85,193.11,"acid,base,titration,show,steps,with,example"
770,organic reaction mechanism,chemistry,3,2.81,1.15,197.45,"organic,reaction,mechanism"
771,differential equations solve explain with example,math,6,0.87,2.22,116.48,"differential,equations,solve,explain,with,example"
772,data structures stack queue,cs,4,2.59,1.72,184.09,"data,structures,stack,queue"
773,differential equations solve show steps detailed explanation,math,7,3.46,1.07,230.58,"differential,equations,solve,show,steps,detailed,explanation"
774,chemical bonding explanation with example show steps,chemistry,7,3.28,1.73,232.53,"chemical,bonding,explanation,with,example,show,steps"
775,recursion tree problem,cs,3,3.15,0.97,198.71,"recursion,tree,problem"
776,mechanics motion problem,physics,3,0.57,1.75,81.86,"mechanics,motion,problem"
777,quantum basics question with example,physics,5,1.5,1.62,140.15,"quantum,basics,question,with,example"
778,algebra equation solving solve step by step show steps,math,9,1.42,1.51,135.68,"algebra,equation,solving,solve,step,show,steps"
779,calculus integral problem solve step by step solve step by step,math,11,2.21,2.42,207.54,"calculus,integral,problem,solve,step"
780,thermodynamics law application detailed explanation,physics,5,1.94,1.45,146.71,"thermodynamics,law,application,detailed,explanation"
781,electric circuits problem,physics,3,2.38,2.28,191.34,"electric,circuits,problem"
782,periodic trends question detailed explanation,chemistry,5,0.67,1.54,95.6,"periodic,trends,question,detailed,explanation"
783,acid base titration explain with example,chemistry,6,1.5,2.33,159.52,"acid,base,titration,explain,with,example"
784,algebra equation solving detailed explanation,math,5,1.52,1.25,131.69,"algebra,equation,solving,detailed,explanation"
785,quantum basics question solve step by step with example,physics,9,3.09,2.0,236.61,"quantum,basics,question,solve,step,with,example"
786,organic reaction mechanism with example,chemistry,5,1.99,0.98,148.14,"organic,reaction,mechanism,with,example"
787,stoichiometry titration problem solve step by step explain,chemistry,8,2.85,2.06,227.97,"stoichiometry,titration,problem,solve,step,explain"
788,data structures stack queue,cs,4,2.9,2.31,212.28,"data,structures,stack,queue"
789,periodic trends question detailed explanation solve step by step,chemistry,9,1.48,2.04,144.77,"periodic,trends,question,detailed,explanation,solve,step"
790,optics refraction question explain solve step by step,physics,8,3.09,0.73,201.32,"optics,refraction,question,explain,solve,step"
791,linear algebra matrix,math,3,1.5,2.28,138.66,"linear,algebra,matrix"
792,organic reaction mechanism show steps show steps,chemistry,7,1.13,0.9,104.23,"organic,reaction,mechanism,show,steps"
793,periodic trends question explain explain,chemistry,5,1.32,0.53,109.06,"periodic,trends,question,explain"
794,algebra equation solving solve step by step solve step by step,math,11,0.92,1.91,121.87,"algebra,equation,solving,solve,step"
795,optics refraction question,physics,3,1.43,2.28,143.91,"optics,refraction,question"
796,algebra equation solving,math,3,1.91,1.85,150.62,"algebra,equation,solving"
797,calculus integral problem solve step by step,math,7,2.61,2.28,212.69,"calculus,integral,problem,solve,step"
798,data structures stack queue solve step by step,cs,8,2.95,1.93,225.52,"data,structures,stack,queue,solve,step"
799,differential equations solve explain detailed explanation,math,6,3.26,1.44,222.91,"differential,equations,solve,explain,detailed,explanation"
800,recursion tree problem,cs,3,3.34,0.79,216.71,"recursion,tree,problem"
801,chemical bonding explanation explain,chemistry,4,3.25,1.16,220.92,"chemical,bonding,explanation,explain"
802,periodic trends question explain,chemistry,4,1.93,1.2,147.72,"periodic,trends,question,explain"
803,thermodynamics law application show steps,physics,5,0.88,0.71,94.55,"thermodynamics,law,application,show,steps"
804,geometry theorems proof show steps show steps,math,7,2.1,1.3,163.27,"geometry,theorems,proof,show,steps"
805,quantum basics question,physics,3,3.42,1.27,219.21,"quantum,basics,question"
806,recursion tree problem show steps with example,cs,7,1.21,1.83,122.66,"recursion,tree,problem,show,steps,with,example"
807,graph theory shortest path with example solve step by step,cs,10,0.79,1.39,103.46,"graph,theory,shortest,path,with,example,solve,step"
808,graph theory shortest path explain detailed explanation,cs,7,2.81,1.26,199.59,"graph,theory,shortest,path,explain,detailed,explanation"
809,calculus integral problem,math,3,2.95,2.27,226.97,"calculus,integral,problem"
810,algebra equation solving explain with example,math,6,1.67,1.66,142.61,"algebra,equation,solving,explain,with,example"
811,chemical bonding explanation show steps show steps,chemistry,7,3.26,2.37,248.76,"chemical,bonding,explanation,show,steps"
812,organic reaction mechanism explain detailed explanation,chemistry,6,1.71,0.76,128.58,"organic,reaction,mechanism,explain,detailed,explanation"
813,acid base titration,chemistry,3,0.5,1.62,92.97,"acid,base,titration"
814,geometry theorems proof,math,3,1.21,1.9,122.39,"geometry,theorems,proof"
815,periodic trends question solve step by step,chemistry,7,2.14,1.82,176.9,"periodic,trends,question,solve,step"
816,quantum basics question detailed explanation,physics,5,1.58,1.33,131.37,"quantum,basics,question,detailed,explanation"
817,optics refraction question,physics,3,0.72,0.53,77.03,"optics,refraction,question"
818,recursion tree problem,cs,3,0.75,1.78,97.42,"recursion,tree,problem"
819,data structures stack queue show steps,cs,6,1.86,1.35,158.4,"data,structures,stack,queue,show,steps"
820,sorting algorithm explanation,cs,3,1.06,1.71,114.76,"sorting,algorithm,explanation"
821,quantum basics question with example,physics,5,2.14,1.23,171.16,"quantum,basics,question,with,example"
822,sorting algorithm explanation,cs,3,2.24,2.42,178.0,"sorting,algorithm,explanation"
823,periodic trends question explain detailed explanation,chemistry,6,0.77,1.44,104.13,"periodic,trends,question,explain,detailed,explanation"
824,linear algebra matrix solve step by step explain,math,8,1.53,2.06,153.08,"linear,algebra,matrix,solve,step,explain"
825,data structures stack queue solve step by step solve step by step,cs,12,3.43,1.09,230.65,"data,structures,stack,queue,solve,step"
826,acid base titration explain,chemistry,4,1.92,0.84,131.83,"acid,base,titration,explain"
827,acid base titration,chemistry,3,1.36,0.67,107.51,"acid,base,titration"
828,chemical bonding explanation,chemistry,3,2.35,1.05,159.64,"chemical,bonding,explanation"
829,linear algebra matrix,math,3,3.23,1.98,230.28,"linear,algebra,matrix"
830,stoichiometry titration problem show steps,chemistry,5,1.21,0.86,108.25,"stoichiometry,titration,problem,show,steps"
831,geometry theorems proof,math,3,3.4,1.69,236.23,"geometry,theorems,proof"
832,recursion tree problem solve step by step,cs,7,1.82,1.78,154.82,"recursion,tree,problem,solve,step"
833,organic reaction mechanism solve step by step detailed explanation,chemistry,9,0.66,1.43,99.12,"organic,reaction,mechanism,solve,step,detailed,explanation"
834,data structures stack queue,cs,4,1.64,1.91,147.69,"data,structures,stack,queue"
835,quantum basics question explain,physics,4,3.28,1.4,223.57,"quantum,basics,question,explain"
836,calculus integral problem show steps detailed explanation,math,7,1.8,2.34,177.97,"calculus,integral,problem,show,steps,detailed,explanation"
837,chemical bonding explanation detailed explanation,chemistry,5,1.27,1.67,126.12,"chemical,bonding,explanation,detailed"
838,quantum basics question,physics,3,2.06,1.86,176.06,"quantum,basics,question"
839,acid base titration,chemistry,3,2.52,2.16,185.44,"acid,base,titration"
840,linear algebra matrix,math,3,2.56,1.2,182.51,"linear,algebra,matrix"
841,stoichiometry titration problem,chemistry,3,0.57,0.68,76.87,"stoichiometry,titration,problem"
842,quantum basics question explain detailed explanation,physics,6,0.76,1.71,101.72,"quantum,basics,question,explain,detailed,explanation"
843,mechanics motion problem explain solve step by step,physics,8,2.48,0.65,172.07,"mechanics,motion,problem,explain,solve,step"
844,periodic trends question detailed explanation show steps,chemistry,7,1.47,0.82,115.38,"periodic,trends,question,detailed,explanation,show,steps"
845,differential equations solve solve step by step,math,7,0.68,2.41,111.49,"differential,equations,solve,step"
846,graph theory shortest path detailed explanation,cs,6,1.1,1.29,115.71,"graph,theory,shortest,path,detailed,explanation"
847,algebra equation solving show steps solve step by step,math,9,2.43,2.33,210.41,"algebra,equation,solving,show,steps,solve,step"
848,calculus integral problem,math,3,0.71,1.96,106.24,"calculus,integral,problem"
849,differential equations solve,math,3,2.46,0.5,149.76,"differential,equations,solve"
850,sorting algorithm explanation,cs,3,2.6,2.31,203.69,"sorting,algorithm,explanation"
851,recursion tree problem with example,cs,5,2.68,2.12,197.8,"recursion,tree,problem,with,example"
852,mechanics motion problem detailed explanation,physics,5,2.95,1.46,208.04,"mechanics,motion,problem,detailed,explanation"
853,chemical bonding explanation solve step by step explain,chemistry,8,3.49,1.79,243.61,"chemical,bonding,explanation,solve,step,explain"
854,organic reaction mechanism show steps,chemistry,5,1.37,0.91,117.79,"organic,reaction,mechanism,show,steps"
855,dynamic programming example show steps,cs,5,3.19,1.76,221.89,"dynamic,programming,example,show,steps"
856,differential equations solve explain explain,math,5,0.58,2.49,103.57,"differential,equations,solve,explain"
857,graph theory shortest path show steps with example,cs,8,3.39,2.12,257.23,"graph,theory,shortest,path,show,steps,with,example"
858,calculus integral problem explain,math,4,2.86,0.59,175.16,"calculus,integral,problem,explain"
859,data structures stack queue,cs,4,2.72,0.97,174.84,"data,structures,stack,queue"
860,electric circuits problem explain detailed explanation,physics,6,2.36,0.99,172.78,"electric,circuits,problem,explain,detailed,explanation"
861,algebra equation solving explain solve step by step,math,8,2.88,1.41,201.61,"algebra,equation,solving,explain,solve,step"
862,calculus integral problem,math,3,1.99,2.1,161.91,"calculus,integral,problem"
863,electric circuits problem detailed explanation,physics,5,3.45,1.86,236.18,"electric,circuits,problem,detailed,explanation"
864,thermodynamics law application,physics,3,2.79,1.69,196.01,"thermodynamics,law,application"
